# Published carbon intensity of electricity, gCO2/kWh (direct power-sector emissions).
# Source: Our World in Data energy dataset, column carbon_intensity_elec. CC BY 4.0.
#   https://github.com/owid/energy-data
# Used by data/build-energy.mjs purely as an independent check on CARBON_FACTORS.
entity,year,gco2_per_kwh
austral,2000,805.98
austral,2001,803.13
austral,2002,794.67
austral,2003,792.17
austral,2004,792.83
austral,2005,791.8
austral,2006,790.5
austral,2007,791.15
austral,2008,791.51
austral,2009,785.11
austral,2010,775.67
austral,2011,749.42
austral,2012,746.99
austral,2013,726.16
austral,2014,734.18
austral,2015,729.71
austral,2016,713.51
austral,2017,718.08
austral,2018,688.42
austral,2019,670.1
austral,2020,642.32
austral,2021,605.91
austral,2022,577.86
austral,2023,556.7
austral,2024,553.83
austral,2025,525.18
brazil,2000,89.45
brazil,2001,105.74
brazil,2002,97.3
brazil,2003,90.67
brazil,2004,101.78
brazil,2005,98.89
brazil,2006,95.96
brazil,2007,90.91
brazil,2008,113.63
brazil,2009,87.37
brazil,2010,114.15
brazil,2011,99.76
brazil,2012,128.34
brazil,2013,167.84
brazil,2014,192.94
brazil,2015,188.64
brazil,2016,149.65
brazil,2017,155.88
brazil,2018,136.95
brazil,2019,141.93
brazil,2020,133.36
brazil,2021,168.07
brazil,2022,103.39
brazil,2023,96.26
brazil,2024,106.06
brazil,2025,109.95
canada,2000,245.69
canada,2001,255.65
canada,2002,245.12
canada,2003,251.64
canada,2004,235.34
canada,2005,225.01
canada,2006,216.51
canada,2007,227.76
canada,2008,213.48
canada,2009,204.33
canada,2010,214.78
canada,2011,206.18
canada,2012,193.39
canada,2013,186.96
canada,2014,188.86
canada,2015,184.37
canada,2016,180.88
canada,2017,172.06
canada,2018,170.86
canada,2019,169.99
canada,2020,161.69
canada,2021,165.37
canada,2022,160.6
canada,2023,174.37
canada,2024,185.35
canada,2025,190.72
china,2000,783.51
china,2001,762.88
china,2002,773.3
china,2003,790.92
china,2004,778.5
china,2005,782.08
china,2006,786.64
china,2007,785.24
china,2008,747.06
china,2009,753.13
china,2010,740.75
china,2011,752.36
china,2012,720.28
china,2013,717.51
china,2014,693.85
china,2015,667.85
china,2016,651.76
china,2017,644.21
china,2018,636.89
china,2019,619.63
china,2020,606.29
china,2021,599.05
china,2022,586.75
china,2023,583.04
china,2024,555.4
china,2025,525.34
czechia,1990,777.74
czechia,1991,779.1
czechia,1992,766.98
czechia,1993,758.48
czechia,1994,746.92
czechia,1995,756.03
czechia,1996,749.33
czechia,1997,757.67
czechia,1998,749.3
czechia,1999,736.95
czechia,2000,767.08
czechia,2001,751.82
czechia,2002,699.34
czechia,2003,651.89
czechia,2004,640.17
czechia,2005,646.65
czechia,2006,634.11
czechia,2007,652.27
czechia,2008,627.52
czechia,2009,603.14
czechia,2010,593.64
czechia,2011,583.56
czechia,2012,552.78
czechia,2013,527.53
czechia,2014,530.83
czechia,2015,553.16
czechia,2016,573.9
czechia,2017,542.33
czechia,2018,532.59
czechia,2019,503.5
czechia,2020,460.18
czechia,2021,471.79
czechia,2022,488.36
czechia,2023,442.61
czechia,2024,414.23
czechia,2025,401.46
eu,2000,419.04
eu,2001,409.1
eu,2002,419.6
eu,2003,424.19
eu,2004,411.99
eu,2005,409.89
eu,2006,408.67
eu,2007,413.04
eu,2008,392.35
eu,2009,382.38
eu,2010,369.35
eu,2011,376.65
eu,2012,371.88
eu,2013,357.11
eu,2014,342.87
eu,2015,348.32
eu,2016,341.43
eu,2017,340.41
eu,2018,321.26
eu,2019,287.35
eu,2020,261.18
eu,2021,272.52
eu,2022,291.55
eu,2023,235.84
eu,2024,211.2
eu,2025,209.9
france,1990,104.25
france,1991,121.69
france,1992,101.89
france,1993,68.75
france,1994,67.27
france,1995,73.46
france,1996,79.23
france,1997,70.86
france,1998,96.75
france,1999,87.37
france,2000,79.77
france,2001,68.63
france,2002,75.21
france,2003,80.86
france,2004,77.19
france,2005,85.53
france,2006,76.57
france,2007,80.11
france,2008,76.03
france,2009,75.6
france,2010,78.56
france,2011,74.62
france,2012,77.59
france,2013,76.29
france,2014,52.22
france,2015,59.17
france,2016,68.62
france,2017,78.31
france,2018,59.92
france,2019,59.79
france,2020,59.08
france,2021,59.8
france,2022,78.54
france,2023,53.26
france,2024,40.48
france,2025,41.44
germany,1990,622.23
germany,1991,628.22
germany,1992,605.13
germany,1993,607.79
germany,1994,604.32
germany,1995,596.38
germany,1996,591.34
germany,1997,575.31
germany,1998,587.04
germany,1999,566.43
germany,2000,573.16
germany,2001,565.48
germany,2002,569.62
germany,2003,570.01
germany,2004,554.71
germany,2005,546.3
germany,2006,536.21
germany,2007,551.81
germany,2008,525.41
germany,2009,521.55
germany,2010,516.65
germany,2011,529.67
germany,2012,534.16
germany,2013,538.04
germany,2014,521.68
germany,2015,503.59
germany,2016,498.3
germany,2017,469.71
germany,2018,454.55
germany,2019,392.51
germany,2020,355.61
germany,2021,394.64
germany,2022,419.74
germany,2023,362.92
germany,2024,336.38
germany,2025,329.65
greece,1990,884.21
greece,1991,838.59
greece,1992,870.51
greece,1993,877.02
greece,1994,875.81
greece,1995,848.8
greece,1996,835.19
greece,1997,850.5
greece,1998,850.77
greece,1999,819.8
greece,2000,822.82
greece,2001,845.64
greece,2002,827.59
greece,2003,790.33
greece,2004,786.16
greece,2005,782.56
greece,2006,743.14
greece,2007,776.92
greece,2008,758.93
greece,2009,747.1
greece,2010,707.3
greece,2011,725.06
greece,2012,704.06
greece,2013,636.69
greece,2014,667.88
greece,2015,603.53
greece,2016,571.51
greece,2017,579.75
greece,2018,545.14
greece,2019,496.98
greece,2020,423.07
greece,2021,383.11
greece,2022,376.81
greece,2023,336.4
greece,2024,321.65
greece,2025,315.09
india,2000,740.04
india,2001,747.39
india,2002,755.76
india,2003,758.01
india,2004,723.79
india,2005,734.03
india,2006,723.04
india,2007,717.87
india,2008,733.08
india,2009,744.55
india,2010,739.43
india,2011,722.11
india,2012,742.86
india,2013,738.99
india,2014,743.22
india,2015,750.63
india,2016,751.87
india,2017,743.09
india,2018,737.72
india,2019,722.66
india,2020,709.06
india,2021,715.34
india,2022,705.75
india,2023,713.36
india,2024,705.4
india,2025,670.13
italy,1990,564.25
italy,1991,533.76
italy,1992,527.21
italy,1993,517.57
italy,1994,517.81
italy,1995,541.64
italy,1996,525.38
italy,1997,519.84
italy,1998,519.75
italy,1999,500.87
italy,2000,501.67
italy,2001,498.68
italy,2002,523.08
italy,2003,523.25
italy,2004,510.98
italy,2005,510.17
italy,2006,506.76
italy,2007,504.75
italy,2008,485.51
italy,2009,458.58
italy,2010,446.45
italy,2011,445.59
italy,2012,438.17
italy,2013,398.96
italy,2014,379.31
italy,2015,398.68
italy,2016,389.58
italy,2017,392.82
italy,2018,366.88
italy,2019,351.32
italy,2020,334.2
italy,2021,339.1
italy,2022,377.84
italy,2023,323.23
italy,2024,281.4
italy,2025,284.78
japan,2000,424.43
japan,2001,424.02
japan,2002,433.73
japan,2003,476.32
japan,2004,450.26
japan,2005,461.8
japan,2006,447.25
japan,2007,470.19
japan,2008,485.22
japan,2009,460.21
japan,2010,446.66
japan,2011,505.34
japan,2012,594.53
japan,2013,595.9
japan,2014,591.53
japan,2015,578.05
japan,2016,567.04
japan,2017,558.03
japan,2018,541.47
japan,2019,528.49
japan,2020,527.75
japan,2021,514.49
japan,2022,519.6
japan,2023,492.45
japan,2024,483.43
japan,2025,477.26
nether,1990,588.26
nether,1991,566.79
nether,1992,556.83
nether,1993,548.37
nether,1994,561.97
nether,1995,579.09
nether,1996,558.94
nether,1997,556.99
nether,1998,554.87
nether,1999,533.23
nether,2000,540.31
nether,2001,541.03
nether,2002,538.78
nether,2003,540.8
nether,2004,522.74
nether,2005,511.72
nether,2006,511.38
nether,2007,509.74
nether,2008,494.4
nether,2009,486.69
nether,2010,478.15
nether,2011,472.3
nether,2012,494.48
nether,2013,500.6
nether,2014,521.25
nether,2015,551.43
nether,2016,524.57
nether,2017,489.66
nether,2018,467.11
nether,2019,410
nether,2020,342.9
nether,2021,351.97
nether,2022,325.61
nether,2023,268.17
nether,2024,250.72
nether,2025,253.56
norway,1990,25.58
norway,1991,25.6
norway,1992,25.45
norway,1993,25.48
norway,1994,26.35
norway,1995,26.18
norway,1996,27.13
norway,1997,26.61
norway,1998,26.37
norway,1999,26.66
norway,2000,25.75
norway,2001,26.87
norway,2002,26.49
norway,2003,27.75
norway,2004,27.88
norway,2005,26.96
norway,2006,27.88
norway,2007,28.58
norway,2008,27.48
norway,2009,39.09
norway,2010,42.88
norway,2011,38.36
norway,2012,32.15
norway,2013,33.95
norway,2014,33.93
norway,2015,33.64
norway,2016,33.1
norway,2017,32.98
norway,2018,33.1
norway,2019,33.48
norway,2020,30.39
norway,2021,26.92
norway,2022,29.64
norway,2023,30.46
norway,2024,29.66
norway,2025,28.11
poland,1990,966.97
poland,1991,967.68
poland,1992,966.71
poland,1993,967.22
poland,1994,963.76
poland,1995,961.77
poland,1996,960.69
poland,1997,959.49
poland,1998,957.31
poland,1999,956.78
poland,2000,954.6
poland,2001,949.56
poland,2002,945.61
poland,2003,949.8
poland,2004,941.26
poland,2005,932.26
poland,2006,931.92
poland,2007,925.44
poland,2008,918.51
poland,2009,904.81
poland,2010,893.03
poland,2011,881.69
poland,2012,860.79
poland,2013,863.23
poland,2014,844.08
poland,2015,826.11
poland,2016,818.55
poland,2017,805.54
poland,2018,809.01
poland,2019,771.66
poland,2020,738.28
poland,2021,756.36
poland,2022,732.48
poland,2023,650.68
poland,2024,608.18
poland,2025,588.6
russia,2000,469.94
russia,2001,458.3
russia,2002,463.04
russia,2003,465.28
russia,2004,453.72
russia,2005,457.4
russia,2006,462.51
russia,2007,458.19
russia,2008,475.11
russia,2009,452.1
russia,2010,458.02
russia,2011,461.31
russia,2012,461.86
russia,2013,450.16
russia,2014,449.29
russia,2015,444.35
russia,2016,442.74
russia,2017,439.63
russia,2018,439.33
russia,2019,440.04
russia,2020,417.65
russia,2021,426.81
russia,2022,436.33
russia,2023,442.74
russia,2024,445.98
russia,2025,449.73
safrica,2000,799.44
safrica,2001,806.27
