# Electricity generation by source, TWh.
# Source: Our World in Data, "Electricity production by source" (Ember + Energy Institute
#   Statistical Review of World Energy + historical estimates). Licensed CC BY 4.0.
#   https://ourworldindata.org/grapher/electricity-production-by-source
# Trimmed to the entities in data/energy-sources.mjs by data/stage-energy-sources.mjs.
entity,year,coal,oil,gas,nuclear,hydro,wind,solar,bio,otherren
austral,1965,,,,0,7.6898,,,,
austral,1966,,,,0,7.345,,,,
austral,1967,,,,0,7.6058,,,,
austral,1968,,,,0,7.9505,,,,
austral,1969,,,,0,8.6841,,,,
austral,1970,,,,0,10.1707,,,,
austral,1971,,,,0,11.5074,,,,
austral,1972,,,,0,11.5533,,,,
austral,1973,,,,0,12.2858,,,,
austral,1974,,,,0,13.8739,,,,
austral,1975,,,,0,14.8878,,,,
austral,1976,,,,0,14.1539,,,,
austral,1977,,,,0,13.544,,,,
austral,1978,,,,0,14.6753,,,,
austral,1979,,,,0,14.2461,,,,
austral,1980,,,,0,13.4666,,,,
austral,1981,,,,0,13.8663,,,,
austral,1982,,,,0,12.7703,,,,
austral,1983,,,,0,12.1236,,,,
austral,1984,,,,0,13.1259,,,,
austral,1985,89.374,4.667,11.501,0,13.9405,,,,
austral,1986,92.587,3.771,13.784,0,14.0258,,,,
austral,1987,100.348,2.799,13.989,0,13.6138,,,,
austral,1988,105.998,2.444,14.718,0,14.3344,,,,
austral,1989,113.56,3.024,15.128,0,14.2537,,,,
austral,1990,123.363,3.474,12.5655,0,14.7595,0,0,,
austral,1991,127.2215,2.879,11.2025,0,15.6535,0,0.0054,,
austral,1992,130.0024,2.3915,11.964,0,15.9415,0,0.0121,,
austral,1993,133.2774,2.3705,12.247,0,16.387,0.002,0.0146,,
austral,1994,136.8941,2.529,13.556,0,16.15,0.0055,0.0174,,
austral,1995,141.9353,2.7715,13.679,0,15.631,0.007,0.0211,,
austral,1996,148.4309,2.49,11.9355,0,15.9685,0.007,0.0256,,
austral,1997,157.4738,1.998,12.18,0,15.9525,0.0075,0.0307,,
austral,1998,165.9459,1.775,14.4675,0,15.798,0.018,0.0356,,
austral,1999,171.1614,1.7565,16.123,0,16.2815,0.043,0.0406,,
austral,2000,180.26,2.27,16.76,0,16.47,0.13,0.05,0.89,0
austral,2001,179.88,2.62,24.5,0,16.12,0.29,0.05,0.8,0
austral,2002,171.86,3.13,30.55,0,16.09,0.53,0.06,1.27,0
austral,2003,173.61,3.53,30.15,0,16.21,0.7,0.06,1.69,0
austral,2004,178.96,3.53,27.36,0,15.69,0.8,0.07,2.82,0
austral,2005,182.98,3.78,23.26,0,15.47,1.3,0.08,3.87,0
austral,2006,185.76,3.8,27.29,0,14.95,2.16,0.1,3.93,0
austral,2007,185.49,4.01,33.4,0,13.05,2.85,0.11,4.28,0
austral,2008,184.24,5.71,36.31,0,11.82,3.46,0.14,3.7,0
austral,2009,182.02,6.6,41.12,0,12.64,4.44,0.29,2.79,0
austral,2010,176.02,6,46.79,0,13.75,4.99,0.98,2.44,0
austral,2011,171.98,4.91,48.78,0,19.57,6.43,2.04,2.57,0
austral,2012,165.38,5.2,49.81,0,17.04,7.72,2.41,3.1,0
austral,2013,155.45,5.86,52.72,0,19.09,9.26,3.85,3.33,0
austral,2014,155.23,6,53.66,0,14.48,9.78,4.95,3.55,0
austral,2015,162.2,6.28,49.71,0,14.09,11.83,6.2,3.68,0
austral,2016,162.36,6.02,48.11,0,17.63,13.04,7.44,3.63,0
austral,2017,159.17,5.52,55.09,0,13.5,13.21,8.92,3.56,0
austral,2018,156.56,5.12,51.46,0,17.31,16.26,12.33,3.59,0
austral,2019,149.84,5.09,55.71,0,14.02,19.47,18.3,3.47,0
austral,2020,142.93,4.89,53.05,0,14.42,22.61,23.84,3.41,0
austral,2021,137.4,5.15,47.63,0,15.94,26.8,31.19,3.34,0
austral,2022,129.21,5.45,50.82,0,16.66,30.05,37.54,3.19,0
austral,2023,125.61,5.76,46.67,0,15.08,31.87,44.99,3.13,0
austral,2024,127.33,6.42,49.1,0,12.85,32.74,50.21,2.99,0
austral,2025,122.35,6.36,47.05,0,12.22,39.23,56.09,3.04,0
brazil,1965,,,,0,25.515,,,,
brazil,1966,,,,0,27.906,,,,
brazil,1967,,,,0,29.189,,,,
brazil,1968,,,,0,30.55,,,,
brazil,1969,,,,0,32.692,,,,
brazil,1970,,,,0,39.801,,,,
brazil,1971,,,,0,43.199,,,,
brazil,1972,,,,0,50.681,,,,
brazil,1973,,,,0,57.89,,,,
brazil,1974,,,,0,65.679,,,,
brazil,1975,,,,0,72.287,,,,
brazil,1976,,,,0,82.913,,,,
brazil,1977,,,,0,93.48,,,,
brazil,1978,,,,0,102.746,,,,
brazil,1979,,,,0,116.58,,,,
brazil,1980,,,,0,128.907,,,,
brazil,1981,,,,0,130.765,,,,
