# Gross electricity production by detailed fuel, TWh (converted from GWh).
# Source: Eurostat, nrg_bal_peh "Production of electricity and derived heat by type of fuel",
#   indicator GEP (gross electricity production). (c) European Union; reuse permitted with attribution.
#   https://ec.europa.eu/eurostat/databrowser/view/nrg_bal_peh
# Trimmed by data/stage-energy-sources.mjs.
entity,year,fuel,subfuel,twh
czechia,1990,bio,bio-solid,0
czechia,1990,coal,coal-anthr,0
czechia,1990,coal,coal-bitum,5.734
czechia,1990,coal,coal-coking,0
czechia,1990,coal,coal-lignite,41.286
czechia,1990,coal,coal-subbit,0
czechia,1990,otherren,or-geo,0
czechia,1990,otherren,or-tidal,0
czechia,1991,bio,bio-solid,0
czechia,1991,coal,coal-anthr,0
czechia,1991,coal,coal-bitum,5.583
czechia,1991,coal,coal-coking,0
czechia,1991,coal,coal-lignite,40.016
czechia,1991,coal,coal-subbit,0
czechia,1991,otherren,or-geo,0
czechia,1991,otherren,or-tidal,0
czechia,1992,bio,bio-solid,0
czechia,1992,coal,coal-anthr,0
czechia,1992,coal,coal-bitum,5.378
czechia,1992,coal,coal-coking,0
czechia,1992,coal,coal-lignite,38.528
czechia,1992,coal,coal-subbit,0
czechia,1992,otherren,or-geo,0
czechia,1992,otherren,or-tidal,0
czechia,1993,bio,bio-solid,0.044
czechia,1993,coal,coal-anthr,0
czechia,1993,coal,coal-bitum,5.295
czechia,1993,coal,coal-coking,0
czechia,1993,coal,coal-lignite,37.968
czechia,1993,coal,coal-subbit,0
czechia,1993,otherren,or-geo,0
czechia,1993,otherren,or-tidal,0
czechia,1994,bio,bio-solid,0.182
czechia,1994,coal,coal-anthr,0
czechia,1994,coal,coal-bitum,5.025
czechia,1994,coal,coal-coking,0
czechia,1994,coal,coal-lignite,37.211
czechia,1994,coal,coal-subbit,0
czechia,1994,otherren,or-geo,0
czechia,1994,otherren,or-tidal,0
czechia,1995,bio,bio-solid,0.302
czechia,1995,coal,coal-anthr,0
czechia,1995,coal,coal-bitum,6.958
czechia,1995,coal,coal-coking,0
czechia,1995,coal,coal-lignite,37.384
czechia,1995,coal,coal-subbit,0
czechia,1995,otherren,or-geo,0
czechia,1995,otherren,or-tidal,0
czechia,1996,bio,bio-solid,0.254
czechia,1996,coal,coal-anthr,0
czechia,1996,coal,coal-bitum,7.343
czechia,1996,coal,coal-coking,0
czechia,1996,coal,coal-lignite,38.086
czechia,1996,coal,coal-subbit,0
czechia,1996,otherren,or-geo,0
czechia,1996,otherren,or-tidal,0
czechia,1997,bio,bio-solid,0.344
czechia,1997,coal,coal-anthr,0
czechia,1997,coal,coal-bitum,4.35
czechia,1997,coal,coal-coking,0
czechia,1997,coal,coal-lignite,41.376
czechia,1997,coal,coal-subbit,0
czechia,1997,otherren,or-geo,0
czechia,1997,otherren,or-tidal,0
czechia,1998,bio,bio-solid,0.428
czechia,1998,coal,coal-anthr,0
czechia,1998,coal,coal-bitum,4.513
czechia,1998,coal,coal-coking,0
czechia,1998,coal,coal-lignite,40.804
czechia,1998,coal,coal-subbit,0
czechia,1998,otherren,or-geo,0
czechia,1998,otherren,or-tidal,0
czechia,1999,bio,bio-solid,0.528
czechia,1999,coal,coal-anthr,0
czechia,1999,coal,coal-bitum,4.254
czechia,1999,coal,coal-coking,0
czechia,1999,coal,coal-lignite,39.897
czechia,1999,coal,coal-subbit,0
czechia,1999,otherren,or-geo,0
czechia,1999,otherren,or-tidal,0
czechia,2000,bio,bio-solid,0.382
czechia,2000,coal,coal-anthr,0
czechia,2000,coal,coal-bitum,5.515
czechia,2000,coal,coal-coking,0
czechia,2000,coal,coal-lignite,47.237
czechia,2000,coal,coal-subbit,0
czechia,2000,otherren,or-geo,0
czechia,2000,otherren,or-tidal,0
czechia,2001,bio,bio-solid,0.381
czechia,2001,coal,coal-anthr,0
czechia,2001,coal,coal-bitum,5.673
czechia,2001,coal,coal-coking,0
czechia,2001,coal,coal-lignite,46.921
czechia,2001,coal,coal-subbit,0
czechia,2001,otherren,or-geo,0
czechia,2001,otherren,or-tidal,0
czechia,2002,bio,bio-solid,0.367
czechia,2002,coal,coal-anthr,0
czechia,2002,coal,coal-bitum,5.371
czechia,2002,coal,coal-coking,0
czechia,2002,coal,coal-lignite,44.466
czechia,2002,coal,coal-subbit,0
czechia,2002,otherren,or-geo,0
czechia,2002,otherren,or-tidal,0
czechia,2003,bio,bio-solid,0.373
czechia,2003,coal,coal-anthr,0
czechia,2003,coal,coal-bitum,5.576
czechia,2003,coal,coal-coking,0
czechia,2003,coal,coal-lignite,45.134
czechia,2003,coal,coal-subbit,0
czechia,2003,otherren,or-geo,0
czechia,2003,otherren,or-tidal,0
czechia,2004,bio,bio-solid,0.5645
czechia,2004,coal,coal-anthr,0
czechia,2004,coal,coal-bitum,5.895
czechia,2004,coal,coal-coking,0
czechia,2004,coal,coal-lignite,44.356
czechia,2004,coal,coal-subbit,0
czechia,2004,otherren,or-geo,0
czechia,2004,otherren,or-tidal,0
czechia,2005,bio,bio-solid,0.5603
czechia,2005,coal,coal-anthr,0
czechia,2005,coal,coal-bitum,5.498
czechia,2005,coal,coal-coking,0
czechia,2005,coal,coal-lignite,43.96
czechia,2005,coal,coal-subbit,0
czechia,2005,otherren,or-geo,0
czechia,2005,otherren,or-tidal,0
czechia,2006,bio,bio-solid,0.7311
czechia,2006,coal,coal-anthr,0
czechia,2006,coal,coal-bitum,5.999
czechia,2006,coal,coal-coking,0
czechia,2006,coal,coal-lignite,43.619
czechia,2006,coal,coal-subbit,0
czechia,2006,otherren,or-geo,0
czechia,2006,otherren,or-tidal,0
czechia,2007,bio,bio-solid,0.9681
czechia,2007,coal,coal-anthr,0
czechia,2007,coal,coal-bitum,7.206
czechia,2007,coal,coal-coking,0
czechia,2007,coal,coal-lignite,46.555
czechia,2007,coal,coal-subbit,0
czechia,2007,otherren,or-geo,0
czechia,2007,otherren,or-tidal,0
czechia,2008,bio,bio-solid,1.1705
czechia,2008,coal,coal-anthr,0
czechia,2008,coal,coal-bitum,5.788
czechia,2008,coal,coal-coking,0
czechia,2008,coal,coal-lignite,42.98
czechia,2008,coal,coal-subbit,0
czechia,2008,otherren,or-geo,0
czechia,2008,otherren,or-tidal,0
czechia,2009,bio,bio-solid,1.3963
czechia,2009,coal,coal-anthr,0
czechia,2009,coal,coal-bitum,5.567
czechia,2009,coal,coal-coking,0
czechia,2009,coal,coal-lignite,40.362
czechia,2009,coal,coal-subbit,0
czechia,2009,otherren,or-geo,0
czechia,2009,otherren,or-tidal,0
czechia,2010,bio,bio-solid,1.4922
czechia,2010,coal,coal-anthr,0
czechia,2010,coal,coal-bitum,6.052
czechia,2010,coal,coal-coking,0
czechia,2010,coal,coal-lignite,40.83
czechia,2010,coal,coal-subbit,0
czechia,2010,otherren,or-geo,0
czechia,2010,otherren,or-tidal,0
czechia,2011,bio,bio-solid,1.6846
czechia,2011,coal,coal-anthr,0
czechia,2011,coal,coal-bitum,5.694
czechia,2011,coal,coal-coking,0
czechia,2011,coal,coal-lignite,40.991
czechia,2011,coal,coal-subbit,0
czechia,2011,otherren,or-geo,0
czechia,2011,otherren,or-tidal,0
czechia,2012,bio,bio-solid,1.8173
czechia,2012,coal,coal-anthr,0
czechia,2012,coal,coal-bitum,4.896
czechia,2012,coal,coal-coking,0
czechia,2012,coal,coal-lignite,39.08
czechia,2012,coal,coal-subbit,0
czechia,2012,otherren,or-geo,0
czechia,2012,otherren,or-tidal,0
czechia,2013,bio,bio-solid,1.6833
czechia,2013,coal,coal-anthr,0
czechia,2013,coal,coal-bitum,5.266
czechia,2013,coal,coal-coking,0
czechia,2013,coal,coal-lignite,35.846
czechia,2013,coal,coal-subbit,0
czechia,2013,otherren,or-geo,0
czechia,2013,otherren,or-tidal,0
czechia,2014,bio,bio-solid,1.9922
czechia,2014,coal,coal-anthr,0
czechia,2014,coal,coal-bitum,5.12
czechia,2014,coal,coal-coking,0
czechia,2014,coal,coal-lignite,35.599
czechia,2014,coal,coal-subbit,0
czechia,2014,otherren,or-geo,0
czechia,2014,otherren,or-tidal,0
czechia,2015,bio,bio-solid,2.0915
czechia,2015,coal,coal-anthr,0
czechia,2015,coal,coal-bitum,5.653
czechia,2015,coal,coal-coking,0
czechia,2015,coal,coal-lignite,35.474
czechia,2015,coal,coal-subbit,0
czechia,2015,otherren,or-geo,0
czechia,2015,otherren,or-tidal,0
czechia,2016,bio,bio-solid,2.0677
czechia,2016,coal,coal-anthr,0
czechia,2016,coal,coal-bitum,5.707
czechia,2016,coal,coal-coking,0
czechia,2016,coal,coal-lignite,36.25
czechia,2016,coal,coal-subbit,0
czechia,2016,otherren,or-geo,0
czechia,2016,otherren,or-tidal,0
czechia,2017,bio,bio-solid,2.2134
czechia,2017,coal,coal-anthr,0
czechia,2017,coal,coal-bitum,4.4633
czechia,2017,coal,coal-coking,0
czechia,2017,coal,coal-lignite,36.9721
czechia,2017,coal,coal-subbit,0
czechia,2017,otherren,or-geo,0
czechia,2017,otherren,or-tidal,0
czechia,2018,bio,bio-solid,2.1209
czechia,2018,coal,coal-anthr,0
czechia,2018,coal,coal-bitum,3.4705
czechia,2018,coal,coal-coking,0
czechia,2018,coal,coal-lignite,37.72
czechia,2018,coal,coal-subbit,0
czechia,2018,otherren,or-geo,0
czechia,2018,otherren,or-tidal,0
